TIME(MS),COMMAND,VALUE
 000000 ,STAR_SOLID,0,0,0
 000000 ,1      ,0
 000000 ,2      ,0
 000000 ,3      ,0
 000000 ,4      ,0
 000000 ,5      ,0
 000000 ,6      ,0
 000000 ,7      ,0
 000000 ,8      ,0
 000253 ,6      ,1
 000766 ,6      ,0
 000865 ,6                ,1
 001592 ,6                ,0
 001692 ,7                ,1
 002396 ,7                ,0 
 002496 ,7                ,1  
 003214 ,7                ,0
 003304 ,8                ,1
 004016 ,8                ,0
 004116 ,8                ,1
 004816 ,8                ,0
 004916 ,6                ,1
 005096 ,6                ,0 
 005096 ,7                ,1
 005096 ,8                ,1 
 005299 ,7                ,0
 005299 ,8                ,0 
 005322 ,1                ,1
 005525 ,1                ,0 
 005525 ,2                ,1
 005724 ,2                ,0
 005724 ,3                ,1 
 005935 ,3                ,0
 005935 ,4                ,1
 006134 ,4                ,0
 006134 ,5                ,1
 006333 ,5                ,0
 006333 ,2                ,1
 006333 ,4                ,1
 006544 ,2                ,0
 006544 ,4                ,0
 006544 ,1                ,1 
 006544 ,3                ,1
 006544 ,5                ,1 
 006662 ,1                ,0 
 006662 ,3                ,0
 006662 ,5                ,0 
 006753 ,6      ,1
 007266 ,6      ,0
 007365 ,6                ,1 
 008092 ,6                ,0
 008192 ,7                ,1  
 008896 ,7                ,0 
 008996 ,7                ,1 
 009714 ,7                ,0
 009804 ,8                ,1
 010516 ,8                ,0
 010616 ,8                ,1
 011316 ,8                ,0
 011416 ,6                ,1
 011596 ,6                ,0 
 011596 ,7                ,1
 011596 ,8                ,1 
 011799 ,7                ,0
 011799 ,8                ,0 
 011755 ,5                ,1 
 011955 ,5                ,0 
 012011 ,4                ,1 
 012211 ,4                ,0 
 012218 ,3                ,1 
 012418 ,3                ,0 
 012409 ,2                ,1
 012609 ,2                ,0 
 012620 ,1                ,1
 012820 ,1                ,0 
 012815 ,2                ,1
 012815 ,4                ,1 
 013015 ,2                ,0 
 013015 ,4                ,0 
 013011 ,1                ,1
 013011 ,3                ,1
 013011 ,5                ,1 
 013211 ,1                ,0 
 013211 ,3                ,0  
 013211 ,5                ,0
 013220 ,6      ,1
 013220 ,STAR_SOLID,255,0,0 
 013220 ,1      ,1
 013320 ,1      ,0 
 013420 ,1      ,1
 013520 ,1      ,0
 013620 ,6      ,0
 013620 ,7      ,1
 013620 ,STAR_SOLID,0,255,0 
 013620 ,1      ,1
 013720 ,1      ,0 
 013820 ,1      ,1
 013920 ,1      ,0
 014020 ,7      ,0
 014020 ,6      ,1
 014020 ,STAR_SOLID,255,0,0
 014020 ,1      ,1
 014120 ,1      ,0 
 014220 ,1      ,1
 014320 ,1      ,0
 014420 ,6      ,0
 014420 ,7      ,1
 014420 ,STAR_SOLID,0,255,0 
 014420 ,1      ,1
 014520 ,1      ,0
 014620 ,1      ,1
 014720 ,1      ,0
 014820 ,7      ,0
 014820 ,8      ,1
 014820 ,STAR_SOLID,0,0,255 
 014820 ,3      ,1
 014920 ,3      ,0 
 015020 ,3      ,1
 015120 ,3      ,0
 015220 ,8      ,0
 015220 ,7      ,1
 015220 ,STAR_SOLID,0,255,0  
 015220 ,3      ,1
 015320 ,3      ,0
 015420 ,3      ,1
 015520 ,3      ,0
 015620 ,7      ,0
 015620 ,8      ,1
 015620 ,STAR_SOLID,0,0,255 
 015620 ,3      ,1
 015720 ,3      ,0 
 015820 ,3      ,1
 015920 ,3      ,0
 016020 ,8      ,0
 016020 ,6      ,1 
 016020 ,STAR_SOLID,255,0,0
 016020 ,3      ,1
 016120 ,3      ,0
 016220 ,3      ,1
 016320 ,3      ,0 
 016420 ,6      ,0
 016420 ,7      ,1
 016420 ,STAR_SOLID,0,255,0 
 016420 ,5      ,1
